Course Name,section_name,Total Score,Max Points,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,Submission Count,1.1 (3.0 pts),1.2 (3.0 pts),1.3 (3.0 pts),1.4 (3.0 pts),1.5 (3.0 pts),2 (10.0 pts),3.1 (2.0 pts),3.2 (2.0 pts),3.3 (2.0 pts),3.4 (2.0 pts),3.5 (2.0 pts),4 (35.0 pts),5 (30.0 pts)
INTRO TO PROGRAMMING & PROBLEM SOLVING, Section LB7,95.0,100.0,Graded,115742079,2022-03-08 15:44:18 -0500,00:00:00,0,1,2.0,2.0,3.0,3.0,3.0,10.0,2.0,2.0,2.0,2.0,2.0,33.0,29.0
INTRO TO PROGRAMMING & PROBLEM SOLVING, Section LB1,96.0,100.0,Graded,115742080,2022-03-08 15:44:18 -0500,00:00:00,1,1,3.0,3.0,3.0,3.0,3.0,10.0,2.0,2.0,2.0,2.0,2.0,32.0,29.0
INTRO TO PROGRAMMING & PROBLEM SOLVING, Section LB3,99.0,100.0,Graded,115742081,2022-03-08 15:44:18 -0500,00:00:00,1,1,3.0,3.0,3.0,3.0,3.0,10.0,2.0,2.0,2.0,2.0,2.0,34.0,30.0
INTRO TO PROGRAMMING & PROBLEM SOLVING, Section LB7,83.0,100.0,Graded,115742082,2022-03-08 15:44:18 -0500,00:00:00,0,1,2.0,2.0,0.0,0.0,3.0,10.0,2.0,0.0,2.0,2.0,2.0,33.0,25.0
INTRO TO PROGRAMMING & PROBLEM SOLVING, Section LB3,71.0,100.0,Graded,115742083,2022-03-08 15:44:18 -0500,00:00:00,0,1,3.0,3.0,3.0,0.0,3.0,5.0,0.0,2.0,2.0,2.0,2.0,18.0,28.0
INTRO TO PROGRAMMING & PROBLEM SOLVING, Section DLEC,76.0,100.0,Graded,115742084,2022-03-08 15:44:18 -0500,00:00:00,0,1,3.0,3.0,3.0,0.0,0.0,5.0,2.0,2.0,2.0,2.0,2.0,24.0,28.0
INTRO TO PROGRAMMING & PROBLEM SOLVING, Section LB2,81.0,100.0,Graded,115742085,2022-03-08 15:44:18 -0500,00:00:00,0,1,3.0,3.0,3.0,3.0,3.0,10.0,2.0,2.0,0.0,2.0,2.0,29.0,19.0
INTRO TO PROGRAMMING & PROBLEM SOLVING, Section LB3,75.0,100.0,Graded,115742086,2022-03-08 15:44:18 -0500,00:00:00,1,1,0.0,0.0,3.0,0.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,26.0,28.0
INTRO TO PROGRAMMING & PROBLEM SOLVING, Section LB1,39.0,100.0,Graded,115742087,2022-03-08 15:44:18 -0500,00:00:00,1,1,3.0,3.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,8.0,16.0
INTRO TO PROGRAMMING & PROBLEM SOLVING, Section DLEC,95.0,100.0,Graded,115742088,2022-03-08 15:44:18 -0500,00:00:00,5,1,3.0,3.0,3.0,3.0,3.0,10.0,2.0,2.0,2.0,2.0,2.0,31.0,29.0
